title,price_per_share,approximate_profitability,picture_url
"Riverwalk Mixed-Use Plaza (Austin, TX)",$120,10.3%,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop
"Sunrise Senior Living Campus (Scottsdale, AZ)",$85,8.7%,https://images.unsplash.com/photo-1540555700478-4be289fbecef?q=80&w=600&auto=format&fit=crop
"Sunset Tower Residences (Miami, FL)",$50,8.2%,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?q=80&w=600&auto=format&fit=crop
"Oakwood Logistics Hub (Atlanta, GA)",$75,9.1%,https://images.unsplash.com/photo-1586528116311-ad8dd3c8310d?q=80&w=600&auto=format&fit=crop
"Harbor District Office Park (San Francisco, CA)",$100,7.5%,https://images.unsplash.com/photo-1497366216548-37526070297c?q=80&w=600&auto=format&fit=crop
"Northgate Shopping Centre (Denver, CO)",$60,6.8%,https://images.unsplash.com/photo-1555529669-e69e7aa0ba9a?q=80&w=600&auto=format&fit=crop
"Alpine Peaks Ski Resort Lodges (Vail, CO)",$200,11.5%,https://images.unsplash.com/photo-1502784444187-359ac186c5bb?q=80&w=600&auto=format&fit=crop
"Clearwater Beach Resort & Spa (Tampa, FL)",$150,9.9%,https://images.unsplash.com/photo-1540555700478-4be289fbecef?q=80&w=600&auto=format&fit=crop
"Oakwood Medical Office Complex (Philadelphia, PA)",$102,7.9%,https://images.unsplash.com/photo-1584824486509-112e4181ff6b?q=80&w=600&auto=format&fit=crop
"Legacy Tower Residences (Miami, FL)",$72,7.7%,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?q=80&w=600&auto=format&fit=crop
"Alpine Peaks Senior Living Campus (Phoenix, AZ)",$102,8.9%,https://images.unsplash.com/photo-1540555700478-4be289fbecef?q=80&w=600&auto=format&fit=crop
"Alpine Peaks Innovation Tech Center (Seattle, WA)",$109,8.1%,https://images.unsplash.com/photo-1497366216548-37526070297c?q=80&w=600&auto=format&fit=crop
"Grandview Office Park (San Francisco, CA)",$128,8.6%,https://images.unsplash.com/photo-1497366216548-37526070297c?q=80&w=600&auto=format&fit=crop
"Crestview Eco-Friendly Apartments (Denver, CO)",$72,7.0%,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?q=80&w=600&auto=format&fit=crop
"Oakwood Shopping Centre (Denver, CO)",$67,6.6%,https://images.unsplash.com/photo-1555529669-e69e7aa0ba9a?q=80&w=600&auto=format&fit=crop
"Pinnacle Shopping Centre (Las Vegas, NV)",$80,6.6%,https://images.unsplash.com/photo-1555529669-e69e7aa0ba9a?q=80&w=600&auto=format&fit=crop
"emerald Resort & Spa (Tampa, FL)",$168,9.2%,https://images.unsplash.com/photo-1540555700478-4be289fbecef?q=80&w=600&auto=format&fit=crop
"Highland Office Park (Boston, MA)",$116,7.4%,https://images.unsplash.com/photo-1497366216548-37526070297c?q=80&w=600&auto=format&fit=crop
"Clearwater Beach Medical Office Complex (Baltimore, MD)",$90,8.8%,https://images.unsplash.com/photo-1584824486509-112e4181ff6b?q=80&w=600&auto=format&fit=crop
"Horizon Senior Living Campus (Orlando, FL)",$99,9.0%,https://images.unsplash.com/photo-1540555700478-4be289fbecef?q=80&w=600&auto=format&fit=crop
"Meridian Shopping Centre (Phoenix, AZ)",$76,6.9%,https://images.unsplash.com/photo-1555529669-e69e7aa0ba9a?q=80&w=600&auto=format&fit=crop
"Sterling Medical Office Complex (Philadelphia, PA)",$95,8.3%,https://images.unsplash.com/photo-1584824486509-112e4181ff6b?q=80&w=600&auto=format&fit=crop
"Northgate Logistics Hub (Indianapolis, IN)",$77,9.0%,https://images.unsplash.com/photo-1586528116311-ad8dd3c8310d?q=80&w=600&auto=format&fit=crop
"Apex Medical Office Complex (Cleveland, OH)",$105,8.8%,https://images.unsplash.com/photo-1584824486509-112e4181ff6b?q=80&w=600&auto=format&fit=crop
"Clearwater Beach Mixed-Use Plaza (Austin, TX)",$110,9.5%,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop
"Apex Luxury Student Housing (Columbus, OH)",$66,9.1%,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?q=80&w=600&auto=format&fit=crop
"Sterling Ski Resort Lodges (Jackson Hole, WY)",$168,10.7%,https://images.unsplash.com/photo-1502784444187-359ac186c5bb?q=80&w=600&auto=format&fit=crop
"Legacy Logistics Hub (Louisville, KY)",$88,9.7%,https://images.unsplash.com/photo-1586528116311-ad8dd3c8310d?q=80&w=600&auto=format&fit=crop
"Horizon Luxury Student Housing (Columbus, OH)",$67,9.8%,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?q=80&w=600&auto=format&fit=crop
"Aspen Tower Residences (Chicago, IL)",$73,8.0%,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?q=80&w=600&auto=format&fit=crop
"Harbor Senior Living Campus (Phoenix, AZ)",$97,8.9%,https://images.unsplash.com/photo-1540555700478-4be289fbecef?q=80&w=600&auto=format&fit=crop
