title,location,category,price_per_share,expected_return,total_valuation,total_shares,shares_sold,shares_available,shares_sold_percentage,about_property,highlight_1,highlight_2,highlight_3,picture_url
Riverwalk Mixed-Use Plaza,"Austin, TX",Commercial,$120,10.3%,$1.20M,10000,1300,8700,13%,"Premium multi-tenant commercial and retail plaza featuring high foot traffic, strong anchor tenants.",High occupancy anchor tenants,Triple-net leases,Recent modern exterior facade renovation,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop&uniq_id=asset_0
Sunrise Senior Living Campus,"Scottsdale, AZ",Residential,$85,8.7%,$2.12M,25000,10250,14750,41%,State-of-the-art modern assisted living facility with specialized medical care wings.,Strong demographic tailwinds,Long-term operating contracts,Newly expanded medical wing,https://images.unsplash.com/photo-1497366216548-37526070297c?q=80&w=600&auto=format&fit=crop&uniq_id=asset_1
Sunset Tower Residences,"Miami, FL",Residential,$50,8.2%,$1.00M,20000,5400,14600,27%,Luxury high-rise residential multi-family building in prime downtown core with premium tenant amenities.,Prime metropolitan location,Full amenity package including rooftop pool,High historic historical occupancy rates,https://images.unsplash.com/photo-1497215728101-856f4ea42174?q=80&w=600&auto=format&fit=crop&uniq_id=asset_2
Oakwood Logistics Hub,"Atlanta, GA",Industrial,$75,9.1%,$0.75M,10000,7900,2100,79%,High-throughput fulfillment center and distribution warehouse located near major transit corridors.,Class-A distribution facility,Direct highway and air rail access,Long-term corporate tenant lease,https://images.unsplash.com/photo-1542838132-92c53300491e?q=80&w=600&auto=format&fit=crop&uniq_id=asset_3
Harbor District Office Park,"San Francisco, CA",Commercial,$100,7.5%,$2.00M,20000,12003,7997,60.0%,Class-A office complex across three interconnected buildings on the waterfront.,Triple-net leases to 2029,LEED Gold certified,Recent $2M renovation,https://images.unsplash.com/photo-1519501025264-65ba15a82390?q=80&w=600&auto=format&fit=crop&uniq_id=asset_4
Northgate Shopping Centre,"Denver, CO",Commercial,$60,6.8%,$0.60M,10000,8500,1500,85%,"Regional neighborhood shopping center featuring necessity-based retail, supermarket anchors.",Anchored by national grocery chain,Excellent regional vehicle traffic visibility,Favorable retail tenant mix,https://images.unsplash.com/photo-1477959858617-67f85cf4f1df?q=80&w=600&auto=format&fit=crop&uniq_id=asset_5
Alpine Peaks Ski Resort Lodges,"Vail, CO",Hospitality,$200,11.5%,$6.00M,30000,4200,25800,14%,Premium alpine ski-in ski-out luxury hospitality resort cabin community with peak winter seasonal rental demand.,High-demand destination travel market,Premium ski-in ski-out luxury access,Robust seasonal rental yields,https://images.unsplash.com/photo-1454165804606-c3d57bc86b40?q=80&w=600&auto=format&fit=crop&uniq_id=asset_6
Clearwater Beach Resort & Spa,"Tampa, FL",Hospitality,$150,9.9%,$1.50M,10000,2100,7900,21%,"Oceanfront luxury beach resort and wellness spa center with multiple pools, private beach access.",Oceanfront prime property placement,Award-winning dynamic spa facility,Strong repeat guest booking profile,https://images.unsplash.com/photo-1498050108023-c5249f4df085?q=80&w=600&auto=format&fit=crop&uniq_id=asset_7
Clearwater Beach Logistics Hub,"Phoenix, AZ",Industrial,$200,6.7%,$3.00M,15000,10410,4590,69.4%,High-throughput fulfillment center and distribution warehouse located near major transit corridors.,Class-A distribution facility,Direct highway and air rail access,Long-term corporate tenant lease,https://images.unsplash.com/photo-1570129477492-45c003edd2be?q=80&w=600&auto=format&fit=crop&uniq_id=asset_8
Emerald Eco-Friendly Apartments,"Seattle, WA",Residential,$80,9.2%,$1.60M,20000,15560,4440,77.8%,Net-zero energy residential multi-family apartment community with integrated solar roof matrices.,Energy Star certified green build,Substantially reduced asset operational costs,Strong localized millennial urban rental appeal,https://images.unsplash.com/photo-1513694203232-719a280e022f?q=80&w=600&auto=format&fit=crop&uniq_id=asset_9
