title,location,category,price_per_share,expected_return,total_valuation,total_shares,shares_sold,shares_available,shares_sold_percentage,about_property,highlight_1,highlight_2,highlight_3,picture_url
Riverwalk Mixed-Use Plaza,"Austin, TX",Commercial,$120,10.3%,$1.20M,10000,1300,8700,13%,"Premium multi-tenant commercial and retail plaza featuring high foot traffic, strong anchor tenants, and stable historical occupancy rates.",High occupancy anchor tenants,Triple-net leases,Recent modern exterior facade renovation,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop
Sunrise Senior Living Campus,"Scottsdale, AZ",Residential,$85,8.7%,$2.12M,25000,10250,14750,41%,"State-of-the-art modern assisted living facility with specialized medical care wings, high rental demand, and long-term stable care contract agreements.",Strong demographic tailwinds,Long-term operating contracts,Newly expanded medical wing,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?q=80&w=600&auto=format&fit=crop
Sunset Tower Residences,"Miami, FL",Residential,$50,8.2%,$1.00M,20000,5400,14600,27%,Luxury high-rise residential multi-family building in prime downtown core with premium tenant amenities and strong historical value appreciation.,Prime metropolitan location,Full amenity package including rooftop pool,High historic historical occupancy rates,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?q=80&w=600&auto=format&fit=crop
Oakwood Logistics Hub,"Atlanta, GA",Industrial,$75,9.1%,$0.75M,10000,7900,2100,79%,High-throughput fulfillment center and distribution warehouse located near major transit corridors with automated cross-dock capabilities.,Class-A distribution facility,Direct highway and air rail access,Long-term corporate tenant lease,https://images.unsplash.com/photo-1586528116311-ad8dd3c8310d?q=80&w=600&auto=format&fit=crop
Harbor District Office Park,"San Francisco, CA",Commercial,$100,7.5%,$1.00M,10000,12003,-2003,60.0%,Class-A office complex across three interconnected buildings on the waterfront. Fully leased to Fortune 500 tech and finance tenants with triple-net leases through 2029.,Triple-net leases to 2029,LEED Gold certified,Recent $2M renovation,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop
Northgate Shopping Centre,"Denver, CO",Commercial,$60,6.8%,$3.00M,50000,32000,18000,64%,"Regional neighborhood shopping center featuring necessity-based retail, supermarket anchors, and exceptional neighborhood vehicular visibility.",Anchored by national grocery chain,Excellent regional vehicle traffic visibility,Favorable retail tenant mix,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop
Alpine Peaks Ski Resort Lodges,"Vail, CO",Hospitality,$200,11.5%,$2.00M,10000,1300,8700,13%,Premium alpine ski-in ski-out luxury hospitality resort cabin community with peak winter seasonal rental demand and stable operator history.,High-demand destination travel market,Premium ski-in ski-out luxury access,Robust seasonal rental yields,https://images.unsplash.com/photo-1502784444187-359ac186c5bb?q=80&w=600&auto=format&fit=crop
Clearwater Beach Resort & Spa,"Tampa, FL",Hospitality,$150,9.9%,$1.50M,10000,3700,6300,37%,"Oceanfront luxury beach resort and wellness spa center with multiple pools, private beach access, and strong repeat corporate guest base.",Oceanfront prime property placement,Award-winning dynamic spa facility,Strong repeat guest booking profile,https://images.unsplash.com/photo-1502784444187-359ac186c5bb?q=80&w=600&auto=format&fit=crop
Aspen Logistics Hub,"Austin, TX",Industrial,$150,7.7%,$7.50M,50000,34050,15950,68.1%,High-throughput fulfillment center and distribution warehouse located near major transit corridors with automated cross-dock capabilities.,Class-A distribution facility,Direct highway and air rail access,Long-term corporate tenant lease,https://images.unsplash.com/photo-1586528116311-ad8dd3c8310d?q=80&w=600&auto=format&fit=crop
Clearwater Beach Ski Resort Lodges,"Boston, MA",Hospitality,$200,8.2%,$2.00M,10000,7330,2670,73.3%,Premium alpine ski-in ski-out luxury hospitality resort cabin community with peak winter seasonal rental demand and stable operator history.,High-demand destination travel market,Premium ski-in ski-out luxury access,Robust seasonal rental yields,https://images.unsplash.com/photo-1502784444187-359ac186c5bb?q=80&w=600&auto=format&fit=crop
Apex Tower Residences,"Seattle, WA",Residential,$90,8.2%,$1.35M,15000,13664,1336,91.1%,Luxury high-rise residential multi-family building in prime downtown core with premium tenant amenities and strong historical value appreciation.,Prime metropolitan location,Full amenity package including rooftop pool,High historic historical occupancy rates,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?q=80&w=600&auto=format&fit=crop
Oakwood Shopping Centre,"Miami, FL",Commercial,$100,7.1%,$2.00M,20000,11860,8140,59.3%,"Regional neighborhood shopping center featuring necessity-based retail, supermarket anchors, and exceptional neighborhood vehicular visibility.",Anchored by national grocery chain,Excellent regional vehicle traffic visibility,Favorable retail tenant mix,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop
Legacy Mixed-Use Plaza,"Boston, MA",Commercial,$150,7.2%,$3.75M,25000,3025,21975,12.1%,"Premium multi-tenant commercial and retail plaza featuring high foot traffic, strong anchor tenants, and stable historical occupancy rates.",High occupancy anchor tenants,Triple-net leases,Recent modern exterior facade renovation,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop
Highland Office Park,"Tampa, FL",Commercial,$200,7.7%,$2.00M,10000,910,9090,9.1%,Class-A office complex across three interconnected buildings on the waterfront. Fully leased to Fortune 500 tech and finance tenants with triple-net leases through 2029.,Triple-net leases to 2029,LEED Gold certified,Recent $2M renovation,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?q=80&w=600&auto=format&fit=crop
Foundry Logistics Hub,"Denver, CO",Industrial,$60,11.6%,$0.60M,10000,3920,6080,39.2%,High-throughput fulfillment center and distribution warehouse located near major transit corridors with automated cross-dock capabilities.,Class-A distribution facility,Direct highway and air rail access,Long-term corporate tenant lease,https://images.unsplash.com/photo-1586528116311-ad8dd3c8310d?q=80&w=600&auto=format&fit=crop
Sterling Resort & Spa,"Tampa, FL",Hospitality,$75,8.7%,$1.12M,15000,9795,5205,65.3%,"Oceanfront luxury beach resort and wellness spa center with multiple pools, private beach access, and strong repeat corporate guest base.",Oceanfront prime property placement,Award-winning dynamic spa facility,Strong repeat guest booking profile,https://images.unsplash.com/photo-1502784444187-359ac186c5bb?q=80&w=600&auto=format&fit=crop
